id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
114953,"Modern Apartment, free Parking, flexible check-in",562563,Babsi,,Floridsdorf,48.26069542643928,16.400704713592756,Entire home/apt,49,4,13,2019-01-27,0.20,1,176
115921,Comfortable Rooftop home close to Schönbrunn,585938,Jutta,,Rudolfsheim-Fnfhaus,48.18685508265898,16.329035256992942,Private room,80,3,0,,,2,0
115945,In the green disctrict of Vienna,585938,Jutta,,Simmering,48.18186258950841,16.41487934628293,Entire home/apt,28,3,0,,,2,0
116884,2 minutes to old city with metro,518644,Michael,,Margareten,48.194917045850936,16.358874884697098,Private room,39,1,35,2019-01-03,0.37,51,9
119627,Messe Wien Apartment Vienna,341923,Anika,,Leopoldstadt,48.22155236028578,16.40440499957998,Entire home/apt,75,2,17,2018-12-28,0.19,3,329
121026,Feels-Like-Home Apt @ Praterstern,608240,Andrei,,Leopoldstadt,48.21670538353025,16.391483668461678,Entire home/apt,75,2,215,2019-01-27,2.30,3,307
125683,Cozy studio infront of Prater.,624511,Mathias,,Leopoldstadt,48.21853344380674,16.40307087071219,Entire home/apt,35,2,48,2018-03-04,0.69,2,285
131628,"Holiday Apartment ""Modern Vienna""",647465,Sylvia,,Ottakring,48.216862977215804,16.309792519590637,Entire home/apt,59,4,0,,,2,0
138264,Apartment with roofterrace (#1),675182,Stephanie,,Hernals,48.223159323356235,16.318071191714235,Entire home/apt,92,1,2,2018-12-16,0.58,14,309
145569,leo's ecoapartment,704670,Anna&Leo,,Wieden,48.189699675156476,16.374659023551647,Entire home/apt,85,1,240,2018-12-19,2.67,1,205
149759,Praterstrs.10 min from Stephanplatz,722110,Mag. Patricia,,Leopoldstadt,48.21237725013315,16.381814596235316,Entire home/apt,120,3,4,2013-05-06,0.05,2,364
150666,apartment2rent - Schönbrunn Palace,358163,Georg,,Rudolfsheim-Fnfhaus,48.18873581681555,16.320862031588263,Entire home/apt,49,3,40,2019-01-08,0.44,5,365
153704,11 minutes to City Center! - WIFI for free!,739130,Roman,,Floridsdorf,48.25590891656331,16.40017477027124,Entire home/apt,69,5,16,2019-01-03,0.18,2,308
153988,City  Center  Apartment  - Free WLAN,739130,Roman,,Alsergrund,48.21529887954228,16.349683828423313,Entire home/apt,48,1,108,2019-01-05,1.19,2,185
155762,"Cosy, urban, perfect location close to city center",748953,Andrea,,Leopoldstadt,48.22152969886797,16.368902228016257,Entire home/apt,76,4,3,2018-09-05,0.05,2,362
158171,"a unique ZEN place in TOWN, city center.",759129,Odile,,Wieden,48.192564768924,16.36618083048088,Entire home/apt,75,2,184,2019-02-03,2.04,1,62
163792,Apartment Vienna Simmering I,651150,Klaus & Ligia,,Simmering,48.18058691769123,16.41778406447484,Entire home/apt,55,3,83,2019-02-03,0.92,2,170
168717,DESIGN LUXURY HOME VIENNA,305673,Sil,,Alsergrund,48.227028498681534,16.3638841800531,Entire home/apt,99,3,7,2017-04-30,0.09,9,365
169196,City centre Anilin,806216,Megan,,Mariahilf,48.18985841789319,16.349906301973377,Entire home/apt,51,3,24,2018-11-18,0.27,5,282
169672,In the Heart of Vienna - Naschmarkt,808772,Astrid,,Wieden,48.196331484046475,16.3637535011818,Private room,35,2,345,2019-02-03,3.78,1,255
169752,Naschmarkt mini: modern studio in the center,809077,Martha,,Margareten,48.19394630380516,16.358775343123654,Entire home/apt,59,1,54,2018-12-25,1.20,16,1
169852,Naschmarkt classic: spacious flat in the center,809077,Martha,,Margareten,48.19380854888376,16.360687476239793,Entire home/apt,65,1,56,2018-11-19,0.64,16,0
170561,Lovely and quiet downtown apartment,813654,Angela,,Leopoldstadt,48.22479681710316,16.368540196241764,Entire home/apt,49,3,6,2017-01-01,0.09,1,0
171457,Sunny Flat with Parkview,818118,Claudia,,Brigittenau,48.22717098672049,16.369925253418852,Private room,92,14,0,,,1,365
171835,Apartment in the Heart of Vienna,495496,Katarina,,Wieden,48.19453311271889,16.374977697036872,Entire home/apt,89,2,169,2019-01-03,1.89,1,282
172530,"Naschmarkt top: spacious, bright and in the center",809077,Martha,,Margareten,48.195685343103555,16.35929448859168,Entire home/apt,100,1,155,2019-01-31,1.70,16,136
174701,Bright+Calm+Elegant+Good Location,834598,Hanna,,Brigittenau,48.23254075005633,16.371684739978516,Entire home/apt,70,4,7,2016-01-10,0.09,1,100
177354,The Urban Market Square Apartment,108802,Simone,,Ottakring,48.21441806861777,16.335838187250715,Entire home/apt,69,2,44,2018-10-02,0.48,4,224
179728,bluedanube apartments Nestroy for 6,268894,Linda And Paul,,Leopoldstadt,48.21766611866875,16.38693409567888,Entire home/apt,169,3,46,2019-01-21,0.52,2,289
179857,**Cosy CityAp 90sqm(!) AUGARTEN**,861392,Gary,,Brigittenau,48.227605189257375,16.37015786330326,Entire home/apt,89,2,53,2018-09-09,0.59,3,253
190751,City Terrace - Airconditioned Studio in the Centre,809077,Martha,,Innere Stadt,48.20154563016319,16.366663152108874,Entire home/apt,110,1,79,2019-02-04,0.89,16,97
197787,Sunny Apartment Roofterrace (#2),675182,Stephanie,,Hernals,48.22393982386154,16.317228875533495,Entire home/apt,82,1,2,2017-01-05,0.07,14,287
197796,Cozy Apartment in the attic (#3),675182,Stephanie,,Hernals,48.224503709332275,16.318372813714433,Entire home/apt,82,1,1,2016-08-03,0.03,14,285
197809,Cozy Studio for 2 persons (#4),675182,Stephanie,,Hernals,48.22329919740475,16.318370674008758,Entire home/apt,72,1,5,2018-09-02,0.06,14,326
